address,classification,details,fone,link,name,position
"       Av. Interventor Manoel Ribas, 116 - Centro, União da Vitória - PR, 84600-000      ","4,0",Loja de departamento,       (42) 3521-2300      ,       magazineluiza.com.br      ,Magazine Luiza,10
"       Av. Interventor Manoel Ribas, 493 - Centro, União da Vitória - PR, 84600-000      ","3,0",Loja de calçado,       (42) 3524-7475      ,       pt-br.facebook.com      ,Feirão dos Calçados,11
"       R. Profa. Amazília, 195 - Centro, União da Vitória - PR, 84600-000      ","3,6",Loja de móveis,       (42) 3522-4186      ,,Mercadomóveis,12
"       Av. Interventor Manoel Ribas, 455 - Centro, União da Vitória - PR, 84600-000      ","4,8",Loja de Presentes,       (42) 3523-2032      ,,Dalgallo Presentes Ltda,13
"       Praça Alvir Riesemberg, 109 - Centro, União da Vitória - PR, 84600-000      ","4,6",Loja de calçado,       (42) 3522-3941      ,       pt-br.facebook.com      ,Mercadão de Calçados Paranaense,14
"       R. Mal. Floriano Peixoto, 103, Mallet - PR, 84570-000      ","5,0",Loja de Roupa,,,Loja Flor de Campo,15
"       Av. Interventor Manoel Ribas, 890 - Centro, União da Vitória - PR, 84600-000      ","5,0",Loja,       (42) 3524-6002      ,,Época Boutique,16
"       Av. Interventor Manoel Ribas, 332 - Centro, União da Vitória - PR, 84600-000      ","4,1",Loja de Conveniência,       (42) 98888-0674      ,       americanas.com.br      ,Lojas Americanas,17
"       Centro, União da Vitória - PR, 84600-000      ","5,0",Loja,,,Bella Casa,18
"       Av. Interventor Manoel Ribas, 497 - Centro, União da Vitória - PR, 84600-280      ","4,6",Loja de calçado,       (42) 3522-1661      ,       casasestrela.com.br      ,Estrela Calçados,19
"       R. XV de Novembro, Mallet - PR, 84570-000      ","4,5",Loja de Roupa,       (42) 3542-1582      ,       facebook.com      ,Styllu's Fashion,20
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,4",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Superpão Compre Mais União da Vitória Loja 08,1
"       Av. Int, Av. Interventor Manoel Ribas, 103 - Centro, União da Vitória - PR, 84600-280      ","4,8",Loja de variedades,       (42) 3523-1317      ,       lojavogel.negocio.site      ,Vogel & Cia Ltda,2
"       Av. Interventor Manoel Ribas, 370 - Centro, União da Vitória - PR, 84600-000      ","3,8",Loja de calçado,       (42) 3523-2573      ,       lojasleve.com.br      ,Lojas Leve - Calçados e Confecções,3
"       Unnamed Road, Canoinhas - SC, 89460-000      ",,Loja de Roupa,,,Jeito Natural,4
"       R. Carlos Cavalcante, 25, 0 - Centro, União da Vitória - PR, 84600-130      ","5,0",Loja de óculos de sol,       (42) 3523-4678      ,       mundochillibeans.com.br      ,Chilli Beans - União da Vitória,5
"       R. Profa. Amazília, 435 - Centro, União da Vitória - PR, 84600-970      ","4,3",Loja de materiais de construção,       (42) 3521-5800      ,       queroquero.com.br      ,Lojas Quero-Quero,6
"       R. João Gualberto, 255, Mallet - PR, 84570-000      ","4,5",Loja de Roupa,       (42) 99922-2871      ,,La Venue Modas,7
"       Av. Interventor Manoel Ribas, 304 - Centro, União da Vitória - PR, 84600-000      ","4,3",Loja de calçado,       (42) 3522-3211      ,,VIA BRASIL CALÇADOS,8
"       R. Carlos Cavalcante, 8 - Centro, União da Vitória - PR, 84600-000      ","4,4",Loja de artigos para festas,       (42) 3523-3852      ,,Show Festa Embalagens,9
