address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"Av. Min. Victor Konder, 530","5,0",Escritório de advocacia, (47) 3046-1467 · ,http://www.xaviergoncalves.adv.br/,Xavier Gonçalves Advogados,33,,False,True,http://www.facebook.com/xaviergoncalvesadv,
"Rua João Bauer, 325 - Sala 2","4,6",Escritório de advocacia, (47) 3349-4853 · ,,Advogada,34,,,,,
"R. José Siqueira, 98","4,6",Escritório de advocacia, (47) 3349-0301 · ,,Advocacia Marcelo Claúdio Xavier,35,,,,,
"R. Uruguai, 615","5,0",Escritório de advocacia, (47) 3349-5275 · ,http://www.guedim.adv.br/,Tarcisio Guedim Advogados Associados,36,,True,True,https://www.facebook.com/guedimadvogados/,https://www.instagram.com/guedimadvogados/
"R. Dr. Nereu Ramos, 197","5,0",Escritório de advocacia, (47) 3398-4318 · ,http://www.pegoriniadvogados.com.br/,Pegorini Advogados,37,,False,True,https://www.facebook.com/PegoriniAdvogados/,
"Condomínio Residencial Parque das Flores - Bloco a - R. Uruguai, 233","3,6",Advogado, (47) 3363-9395 · ,http://www.advocaciaitajai.com.br/,Fransosi & Paulo - Advogados Associados,38,,False,True,http://www.facebook.com/advocaciaitajai,
"R. José Gall, 598","5,0",Escritório de advocacia, (47) 99960-1137 · ,,Amândio Advocacia,39,,,,,
"Avenida Osvaldo Reis, n° 3.281",,Escritório de advocacia, (47) 3046-8287 · ,https://carlosportes.com.br/,Carlos Portes - Advogados Associados,40,True,,,,
"Ed. The Office - R. Samuel Heusi, nº 463","5,0",Escritório de advocacia, (47) 3346-3630 · ,,Cadilhe Advogados,41,,,,,
"R. José Pereira Liberato, 1120 - Sala 08","4,3",Escritório de advocacia, (47) 3348-2333 · ,,Advocacia Marco Antonio Cachel,43,,,,,
"Av. Cel. Marcos Konder, 1207","5,0",Escritório de advocacia, (47) 3349-5570 · ,http://www.ferrari.adv.br/,Ferrari de Amorim e Advogados Associados,44,,False,False,,
"R. José Siqueira, 726","4,6",Escritório de advocacia, (47) 3083-2345 · ,http://www.brfadvogados.com.br/,"Braga, Ronconi & Fillus Advogados Associados (BRF Advogados)",47,,False,True,,
"R. Brusque, 195","5,0",Advogado, (47) 3348-6400 · ,,JPhilippi Escritório De Contabilidade,48,,,,,
"R. Indaial, nº 1004 - sl 11","5,0",Escritório de advocacia, (47) 3046-0606 · ,https://campestrini-advocacia.negocio.site/,Campestrini Advocacia,49,True,,,,
"R. Dr. Pedro Ferreira, 126","4,1",Escritório de advocacia, (47) 3348-8300 · ,,Escritório de Advocacia Jcp,50,,,,,
"Edifício Embraed - Av. Cel. Marcos Konder, nº 1207 - Sala 46","4,6",Escritório de advocacia, (47) 3348-2393 · ,https://oliveiramartins-advogados.negocio.site/,Oliveira & Martins Advogados Associados,51,,False,False,,
"Ed. The Office - R. Samuel Heusi, 463 - 915","5,0",Escritório de advocacia, (47) 3398-2651 · ,http://silvanalorencoadvogados.com.br/,Silvana Lorenço Advogados,52,,False,False,,
"R. Samuel Heusi, 463","4,0",Escritório de advocacia, (47) 3349-0887 · ,,KOWALSKY & ASSOCIADOS | Advocacia e Consultoria Jurídica,53,,,,,
"R. Samuel Heusi, 463 - Sala 407","4,0",Advogado, (47) 2125-1073 · ,http://www.abreubinde.com.br/,Abreu Bindé Advocacia e Assessoria Empresarial,54,,True,True,https://www.facebook.com/abreubinde/,https://www.instagram.com/abreubindeadv/
"R. Anita Garibaldi, 237","4,3",Escritório de advocacia, (47) 3344-2950 · ,http://www.joaniniadvogados.com.br/,Joanini Advogados Associados,55,True,,,,
AV. JOSÉ EUGÊNIO MULLER Nº 881 - 1º ANDAR,"4,6",Escritório de advocacia, (47) 3249-1394 · ,,Veiga & Advogados Associados,56,,,,,
"R. Alberto Werner, 65","4,6",Escritório de advocacia, (47) 99605-1010 · ,,Documento sem título,57,,,,,
"Rua Dr. Cacildo Romagnani, 127","5,0",Escritório de advocacia, (47) 3045-3132 · ,http://fischer-rovaris-advocacia-e-consultoria.negocio.site/,Fischer & Rovaris Advocacia e Consultoria,58,,False,True,,
"R. Uruguai, 233 - sala 04","5,0",Escritório de advocacia, (41) 99107-6268 · ,https://gg-advogados.negocio.site/,G&G Advogados,59,,False,False,,
"Av. Sete de Setembro, 833","3,8",Advogado, (47) 3348-2861 · ,http://www.joaomartins.com.br/,João José Martins Advogados Associados,60,,False,True,,
"R. Reinaldo de Brito, 53","5,0",Advogado, (47) 3349-9756 · ,,Advogado,61,,,,,
