address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"Rua Selso Duarte Moreira, 897","5,0",Assessoria contábil, (47) 3346-1715 · ,http://www.tjcontabilidade.com.br/,TJ Contabilidade,53,,True,True,https://www.facebook.com/tjcontabilidade/,https://www.instagram.com/contabilidadetj/?igshid=xxqq2i53a9va
"Rua João Bauer, nº 430","5,0",Assessoria contábil, (47) 3011-9199 · ,http://www.almeidagomescontabilidade.com.br/,Almeida Gomes Contabilidade - AG Contabilidade - Itajaí,54,,False,True,https://facebook.com/almeidagomescontabilidade/,
"R. Arquiteto Nilson Edson dos Santos, 642 - 03","5,0",Assessoria contábil, (47) 3246-3886 · ,https://www.facebook.com/optimacontabil/?ref=hl,Optima Contabilidade,55,,True,True,https://web.facebook.com/optimacontabil/posts,
"R. Dr. Pedro Ferreira, 155 - Sala 500","5,0",Escritório de contabilidade, (47) 3348-8190 · ,http://www.grimesepereira.com.br/,GRIMES & PEREIRA CONTABILIDADE ESPECIALIZADA LTDA,56,,True,True,https://www.facebook.com/grimesepereira,https://www.instagram.com/grimesepereira/?hl=pt-br
"Av. Min. Victor Konder, 240","5,0",Escritório de contabilidade, (47) 3083-9191 · ,http://www.lex.cnt.br/,Lex Contabilidade,57,True,,,,
"R. Odílio García, 1294","4,9",Escritório de contabilidade, (47) 99904-7155 · ,http://inovacaocontabil.srv.br/,Inovação Contábil & Certificadora Digital,58,,False,False,,
"R. José Gall, 530","5,0",Assessoria contábil, (47) 3083-6263 · ,http://www.contabilidadevale.com.br/,Contabilidade Vale,59,,False,True,,
"R. Cargelino Francelino, 110","5,0",Escritório de contabilidade, (47) 3241-2297 · ,http://www.nagelcontabilidade.com.br/,Nagel Contabilidade,60,True,,,,
"R. José Gall, 185","5,0",Escritório de contabilidade, (47) 99270-7228 · ,https://superasoft.com.br/,SuperaSoft Contabilidade,61,,True,True,https://www.facebook.com/superasoft/,https://www.instagram.com/superasoft.contabilidade/
"R. Benjamin Franklin Pereira, 295","5,0",Assessoria contábil, (47) 3045-6710 · ,http://www.contabilpartner.com.br/,Contábil Partner,62,True,,,,
"R. Bernardino João Vitórino, 73","5,0",Assessoria contábil, (47) 3348-4660 · ,http://mrcontabilidade.com.br/,MR Contabilidade,63,,False,True,https://www.facebook.com/mrcontabilidadeoficial/?ref=bookmarks,
"R. Jovito Anacleto, 999","5,0",Assessoria contábil, (47) 3083-0033 · ,,G1 Contabilidade,64,,,,,
"R. Ermínio Machado, 481","5,0",Escritório de contabilidade, (47) 3241-6776 · ,http://www.achilescontabilidade.com.br/,Achiles Contabilidade,65,,False,True,,
"R. Dr. Reinaldo Schmithausen, 1434",,Assessoria contábil, (47) 3349-0722 · ,,Montibeller Assessoria Contábil,66,,,,,
"R. Odílio García, 690","5,0",Perito em contabilidade, (47) 3246-3202 · ,,Conted Assessoria Contábil,69,,,,,
"R. Indaial, 951 - Apto 02","5,0",Escritório de contabilidade, (47) 3046-3284 · ,http://www.vedescontabil.com.br/,VEDES Gestão Contábil Ltda,70,,False,False,,
"R. Samuel Heusi, nº 178 - Sala 1003","5,0",Assessoria contábil, (47) 3045-2936 · ,http://www.farolcontabilidade.com/,Farol Assessoria Contábil,72,True,,,,
"R. Alfredo Trompovski, 598 - Térreo","4,5",Escritório da empresa, (47) 3346-1465 · ,http://www.direta.cnt.br/,Direta Contabilidade,73,,False,True,https://www.facebook.com/,
"R. Estefano José Vanolli, 1308 - sala 02","4,0",Escritório de contabilidade, (47) 2125-5978 · ,,JE CONTABILIDADE Consultiva e Inteligência Tributária,74,,,,,
R: Pedro Cristiano de Miranda 1.301,"5,0",Serviço de escrituração contábil, (47) 3248-2491 · ,,Alpha Organizações Contábeis,75,,,,,
"R. Brusque, 304","5,0",Assessoria contábil, (47) 3348-8467 · ,http://dpncont.com.br/,DPN Contabilidade & Consultoria,76,,True,True,https://www.facebook.com/dpncontabilidade,https://www.instagram.com/dpncontabilidade/
"R. Umbelino Damásio de Brito, 326","4,5",Assessoria contábil, (47) 3247-5000 · ,http://www.auditar.com.br/,Auditar Assessoria Empresarial Ltda,77,,True,True,https://www.facebook.com/auditarassessoriaeauditoria/?utm_campaign=newsletter_auditar_n_39_-_30072020&utm_medium=email&utm_source=RD%20Station,https://www.instagram.com/auditar.br/?utm_campaign=newsletter_auditar_n_39_-_30072020&utm_medium=email&utm_source=RD+Station
"Av. Min. Victor Konder, 1064","3,7",Assessoria contábil, (47) 3046-5600 · ,http://www.kratercontabilidade.com.br/,Krater Assessoria Contabil,78,,True,True,https://www.facebook.com/krater.cnt,https://instagram.com/krater_contabilidade
"R. Dr. Pedro Ferreira, nº 120","5,0",Consultoria empresarial, (47) 3349-1102 · ,http://itaconcontabilidade.com.br/,Itacon Contabilidade,79,,True,True,,
"R. Lico Amaral, 205","4,9",Assessoria contábil, (47) 3045-2234 · ,https://www.mcmcontabilidade.com.br/,Mcm Contabilidade,80,,True,True,https://www.facebook.com/MCMContabilidadee/,https://www.instagram.com/?hl=pt-br
"R. Heitor Liberato, 1711","5,0",Assessoria contábil, (47) 99651-9755 · ,https://praiabravaitajaisc.com.br/escritorio-de-contabilidade-itajai/,Contabilidade Itajaí - Contador Declaração de Renda Imposto Serviços Contabéis Empresas,81,,True,True,https://www.facebook.com/wordpress,https://www.instagram.com/explore/tags/wordcamp/
"Rua Gustavo Bernedt, 373 - Sala 02","5,0",Assessoria contábil, (47) 2125-0281 · ,http://www.aconsultcontabilidade.com.br/,Aconsult Contabilidade,82,,True,True,https://www.facebook.com/aconsultcontabilidade,https://www.instagram.com/aconsultcontabilidade
"Av. Min. Victor Konder, 210 - Sala 04","4,7",Assessoria contábil, (47) 98436-0537 · ,http://www.fiscon.cnt.br/,Fiscon Assessoria Contábil LTDA,83,,True,True,http://facebook.com/contabilidadefiscon,http://instagram.com/contabilidadefiscon
"R. Alberto Werner, 243","5,0",Escritório de contabilidade, (47) 3348-8899 · ,http://www.inovacond.com.br/,Inova Condomínios,85,,False,False,,
"R. Fridolin Erthal Júnior, 199","5,0",Assessoria contábil, (47) 3349-7468 · ,http://jocontabilidade.com.br/,JO Contabilidade - Itajaí,86,,False,True,,
"R. Juca Cesário, 140","4,3",Assessoria contábil, (47) 3046-2300 · ,http://grupoconasscon.com.br/,Grupo Conasscon,87,True,,,,
"R. Indaial, 1070","5,0",Assessoria contábil, (47) 3349-0722 · ,,Jl Contabilidade,88,,,,,
"R. Laudelina Dionísio, 721","3,3",Assessoria contábil, (47) 3341-1013 · ,,Noal Contabilidade,98,,,,,
"R. Uruguai, 649 - sala 02","4,5",Assessoria contábil, (47) 3349-8937 · ,,NOVACON CONTABILIDADE,99,,,,,
"R. Samuel Heusi, 190","4,7",Assessoria contábil, (47) 3348-1787 · ,http://www.ocilcontabil.com.br/,OCIL Organização Contábil Itajaí,100,,False,True,https://www.facebook.com/ocilcontabil/,
"Rua José Eugênio Müller, 736","5,0",Assessoria contábil, (47) 3344-5311 · ,https://www.facebook.com/Aval-Contabilidade-215299265217987/timeline/,Aval Organização Contábil,101,,True,True,https://web.facebook.com/Aval-Contabilidade-215299265217987/posts,
"R. José Pereira Liberato, 987","5,0",Escritório da empresa, (47) 3083-3241 · ,http://www.contilucrus.com.br/,Contilucrus Contabilidade Ltda,102,,False,True,,
"Av. Cel. Marcos Konder, 284","5,0",Serviço de escrituração contábil, (47) 3348-8978 · ,,JS - Organização Contábil,103,,,,,
"R. Curt Hering, 399","5,0",Assessoria contábil, (47) 3349-9952 · ,,Formaliza Contabilidade Ltda,104,,,,,
"R. Odílio García, 479","5,0",Assessoria contábil, (47) 3346-2333 · ,,Feller Contabilidade,105,,,,,
"R. Cônego Tomás Fontes, 480 - sala 23","5,0",Assessoria contábil, (47) 3348-6357 · ,http://www.cananicontabil.com.br/,Canani Assessoria Contábil,106,,False,True,http://www.facebook.com/WixPortugues,
"Rua José Eugênio Müller, 509","5,0",Assessoria contábil, (47) 3348-6949 · ,http://www.lcmcontabilidade.com.br/,LCM Contabilidade e Assessoria,107,,False,False,,
"R. Dr. Pedro Rangel, 329","5,0",Assessoria contábil, (47) 3348-6061 · ,,contabilidade s. andrade,108,,,,,
"Av. Sete de Setembro, 200","4,3",Assessoria contábil, (47) 3045-3492 · ,,CUNHA CONTABILIDADE S/C,109,,,,,
