team_back,team_home,score,datetime
                France,                Spain,                    1 - 0,2020-01-31 21:49:00
                Cameroon,                Bosnia H,                    0 - 1,2020-01-31 21:52:00
                England,                Italy,                    2 - 0,2020-01-31 21:55:00
                Ecuador,                South Korea,                    1 - 0,2020-01-31 21:58:00
                Denmark,                Poland,                    1 - 1,2020-01-31 22:01:00
                Portugal,                France,                    0 - 2,2020-01-31 22:04:00
                Japan,                Bosnia H,                    3 - 0,2020-01-31 22:07:00
                Chile,                Ghana,                    2 - 0,2020-01-31 22:10:00
                Czech Republic,                France,                    1 - 0,2020-01-31 22:13:00
                France,                Spain,                    2 - 1,2020-01-31 22:16:00
                Czech Republic,                Poland,                    0 - 0,2020-01-31 22:19:00
                Spain,                Sweden,                    1 - 0,2020-01-31 22:22:00
                Cameroon,                Chile,                    1 - 0,2020-01-31 22:25:00
                Germany,                France,                    0 - 2,2020-01-31 22:28:00
                Croatia,                Germany,                    1 - 0,2020-01-31 22:31:00
                Belgium,                Algeria,                    0 - 2,2020-01-31 22:34:00
                Chile,                Switzerland,                    1 - 0,2020-01-31 22:37:00
                Ukraine,                Portugal,                    4 - 0,2020-01-31 22:40:00
                Cameroon,                Iran,                    2 - 1,2020-01-31 22:43:00
                Japan,                Portugal,                    4 - 0,2020-01-31 22:46:00
                Switzerland,                Mexico,                    0 - 0,2020-01-31 22:49:00
                Russia,                Denmark,                    2 - 0,2020-01-31 22:52:00
                Russia,                Croatia,                    1 - 1,2020-01-31 22:55:00
                Ukraine,                England,                    2 - 0,2020-01-31 22:58:00
                Holland,                Czech Republic,                    0 - 3,2020-01-31 23:01:00
                Ukraine,                Sweden,                    0 - 0,2020-01-31 23:04:00
                France,                Germany,                    2 - 0,2020-01-31 23:07:00
                Brazil,                Greece,                    3 - 1,2020-01-31 23:10:00
                Nigeria,                Ghana,                    0 - 1,2020-01-31 23:13:00
                Sweden,                England,                    1 - 2,2020-01-31 23:16:00
                Sweden,                Republic of Ireland,                    1 - 0,2020-01-31 23:19:00
                Denmark,                France,                    2 - 1,2020-01-31 23:22:00
                Denmark,                Holland,                    0 - 3,2020-01-31 23:25:00
                Switzerland,                France,                    1 - 0,2020-01-31 23:40:00
                Italy,                Switzerland,                    3 - 0,2020-01-31 23:43:00
                Spain,                Belgium,                    0 - 0,2020-01-31 23:46:00
                Ukraine,                Germany,                    0 - 0,2020-01-31 23:49:00
                Spain,                France,                    0 - 2,2020-01-31 23:52:00
                Italy,                France,                    0 - 2,2020-01-31 23:55:00
                France,                Poland,                    0 - 0,2020-01-31 23:58:00
                Germany,                Ukraine,                    3 - 1,2020-02-01 00:01:00
                Japan,                Honduras,                    1 - 0,2020-02-01 00:04:00
                Ukraine,                Poland,                    0 - 2,2020-02-01 00:07:00
                France,                Ghana,                    2 - 1,2020-02-01 00:10:00
                Honduras,                France,                    3 - 0,2020-02-01 00:13:00
                Portugal,                France,                    1 - 0,2020-02-01 00:16:00
                Argentina,                Ivory Coast,                    2 - 1,2020-02-01 00:19:00
                Chile,                Holland,                    0 - 0,2020-02-01 00:22:00
                Russia,                Greece,                    1 - 2,2020-02-01 00:25:00
                Spain,                South Korea,                    1 - 0,2020-02-01 00:28:00
                Portugal,                Nigeria,                    3 - 1,2020-02-01 00:31:00
                Australia,                Iran,                    1 - 3,2020-02-01 00:34:00
                Bosnia H,                Greece,                    2 - 0,2020-02-01 00:37:00
                Cameroon,                Greece,                    1 - 2,2020-02-01 00:40:00
                Argentina,                Russia,                    0 - 2,2020-02-01 00:43:00
                Bosnia H,                Belgium,                    4 - 0,2020-02-01 00:46:00
                Greece,                Bosnia H,                    3 - 1,2020-02-01 00:49:00
                Holland,                Sweden,                    2 - 1,2020-02-01 00:52:00
                Sweden,                Republic of Ireland,                    1 - 0,2020-02-01 00:55:00
                Honduras,                Spain,                    3 - 0,2020-02-01 00:58:00
                Costa Rica,                Switzerland,                    2 - 2,2020-02-01 01:01:00
                Ukraine,                Russia,                    2 - 0,2020-02-01 01:04:00
                Spain,                Germany,                    1 - 0,2020-02-01 01:07:00
                Australia,                Russia,                    0 - 0,2020-02-01 01:10:00
                Greece,                Czech Republic,                    1 - 2,2020-02-01 01:13:00
                Holland,                Argentina,                    0 - 1,2020-02-01 01:16:00
                Czech Republic,                Greece,                    0 - 1,2020-02-01 01:19:00
                Belgium,                Brazil,                    2 - 1,2020-02-01 01:22:00
