address,details,fone,link,name
R. Nunes Machado 68 Loja 5 The Five Mall,Imobiliária,(41) 3046-2210,http://symimoveis.com.br/,Sym Imóveis
"R. Pref. Ângelo Ferrário Lopes, 2552",Imobiliária,(41) 98402-4004,http://www.primacasa.com.br/fale-conosco,Prima Casa Imóveis
"Av. Manoel Ribas, 1775",Imobiliária,(41) 99987-1409,http://www.imoveisbizineli.com.br/,Bizineli Empreendimentos Imobiliários
"R. Alm. Tamandaré, 1645",Imobiliária,(41) 98831-2578,https://www.redebee.com.br/fale-conosco,Associação Rede Bee Imobiliária
"Rua Ari José Valle, 1237",Imobiliária,(41) 3090-2200,http://www.village.imb.br/,Cond.FONTANA MAGGIORE - Comercializado VILLAGE IMOBILIÁRIA
"R. Padre Francisco João Azevedo, 168",Imobiliária,(41) 4106-3284,http://p3imobiliaria.com.br/,P3 Imobiliária
"Av. Sete de Setembro, 6679",Imobiliária,(41) 3039-3314,http://www.bideseimoveis.com/,Imobiliária Bidese
"Alameda Prudente de Moraes, 189",Imobiliária,(41) 99123-1682,http://jrimoveiscuritiba.com.br/localizacao,JR Imóveis - Curitiba
"R. Via Veneto, 1680",Imobiliária,(41) 3042-4343,http://www.interageimoveis.com.br/,Interage Imóveis
"Av. Manoel Ribas, 6483 - LOJA 1",Imobiliária,(41) 3372-2277,http://casolareimoveis.com.br/,Casolare Imoveis
"Sobreloja - Rua Joaquim Simões, 47, Sala 4",Imobiliária,(41) 3347-2279,http://www.nacionalimobiliaria.com.br/,Nacional Imóveis
"Alameda Dr. Carlos de Carvalho, 1941",Imobiliária,(41) 3323-3333,http://www.villageprime.com.br/,Village Desenvolvimento Imobiliário
"R. Carlos Klemtz, 224 - 1",Imobiliária,(41) 3527-3006,https://www.apolar.com.br/,Apolar Imóveis Fazendinha
"R. Conselheiro Laurindo, 825",Imobiliária,(41) 3324-2869,http://borcath.com.br/,Imobiliária Borcath
"R. Conselheiro Laurindo, 809",Imobiliária,(41) 99919-0028,,ADARGE IMOVEIS LTDA
"Av. Presidente Arthur da Silva Bernardes, 2020",Imobiliária,(41) 3345-9000,http://www.mgasparin.com.br/index2.php?id_fin=2&lista=Loca%E7%E3o,Imobiliária M Gasparin
"R. Saldanha Marinho, 847 - 1",Imobiliária,(41) 3322-1544,http://www.jorelis.com.br/,J Orelis Assessoria Imobiliária
"Av. Manoel Ribas, 279",Imobiliária,(41) 3149-9090,/aclk?sa=l&ai=DChcSEwjp25fk--3pAhWGDpEKHQM7DngYABAAGgJjZQ&sig=AOD64_1ZpLPaAyZ7s6VLBT-hH3HW0eYeJw&adurl&q&ctype=99,Imobiliária Sergio Luiz
"Av. Manoel Ribas, 279",Imobiliária,(41) 3149-9090,/aclk?sa=l&ai=DChcSEwjH0aHa--3pAhWUhpEKHa_8APIYABABGgJjZQ&sig=AOD64_1oL9boYm96cwbgPKwU04_MEWsPjw&adurl&q&ctype=99,Imobiliária Sergio Luiz
"R. Canadá, 1390",Imobiliária,(41) 3357-8770,http://www.rochedoimoveis.com.br/,Rochedo Imóveis
"R. Cap. Souza Franco, 848 - conj. 71",Imobiliária,(41) 3029-6524,http://imobiliariahayashi.com.br/,Imobiliária Hayashi
Curitiba,Imobiliária,(41) 3070-3030,http://www.okaimoveis.com.br/,Oka Imóveis
"R. Dep. Heitor Alencar Furtado, 3350 - sala 1409",Imobiliária,(41) 3373-8888,http://www.invictta.com.br/,Invictta Consultoria Imobiliária
